frame_counter,prob_free,prob_left,prob_right,prob_blocked,direction,force,rot_force,rot_force_p_component,rot_force_d_component,n_frames_stuck,exploration
201,0.688,0.08,0.162,0.07,FWRD,0.3,0.0,0.0,0.0,0,False
202,0.638,0.02,0.311,0.031,FWRD,0.3,0.0,0.0,0.0,0,False
203,0.656,0.006,0.324,0.014,FWRD,0.3,0.0,0.0,0.0,0,False
204,0.457,0.053,0.467,0.023,FWRD,0.3,0.0,0.0,0.0,0,False
205,0.613,0.173,0.153,0.062,FWRD,0.3,0.0,0.0,0.0,0,False
206,0.805,0.042,0.121,0.032,FWRD,0.3,0.0,0.0,0.0,0,False
207,0.873,0.012,0.108,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
208,0.875,0.013,0.103,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
209,0.932,0.006,0.058,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
210,0.659,0.02,0.292,0.029,FWRD,0.3,0.0,0.0,0.0,0,False
211,0.444,0.006,0.54,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
212,0.589,0.017,0.344,0.05,FWRD,0.3,0.0,0.0,0.0,0,False
213,0.621,0.001,0.365,0.012,FWRD,0.3,0.0,0.0,0.0,0,False
214,0.941,0.001,0.056,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
215,0.861,0.001,0.131,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
216,0.797,0.002,0.198,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
217,0.738,0.009,0.242,0.012,FWRD,0.3,0.0,0.0,0.0,0,False
218,0.667,0.008,0.302,0.023,FWRD,0.3,0.0,0.0,0.0,0,False
219,0.742,0.014,0.212,0.033,FWRD,0.3,0.0,0.0,0.0,0,False
220,0.725,0.013,0.259,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
221,0.454,0.013,0.529,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
222,0.41,0.002,0.582,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
